"","Date","vanguard_return","blackrock_return","statestreet_return","jpmorgan_return","bankmellon_return","allianz_return"
"1","2001-06-18",-0.00637743633562491,0.000910440033066966,-0.00743343128782149,-0.0131403334904083,0.00515356307488027,-0.00887573964497041
"2","2001-06-19",0.00280236841796484,0.00363850818677994,-0.00335045315922527,0.00473931381766395,0.00769080307210185,-0.00328360000000002
"3","2001-06-20",0.0105471738934462,0.00453178275116514,-0.00771208226221081,0.0242587151841868,0.00587088346899744,-0.011680125996049
"4","2001-06-21",0.00802856392557653,0.0075187969924812,0.0183339577520925,0.0333333567251472,0.0252918189382735,0.0151515151515152
"5","2001-06-22",-0.00637169911504419,-0.0155223880597016,-0.011350254847368,-0.0258912781386095,-0.0332068735799996,0.00940296716417908
"6","2001-06-25",-0.00890630582305497,0.00060642813826571,-0.0350356294536818,-0.00174296288701688,-0.0412168782576811,-0.0211444451482084
"7","2001-06-26",-0.00260603886782965,0.0151515151515152,-0.0153846153846154,-0.0248799650807508,0.00736952806747334,0.0023867341389728
"8","2001-06-27",9.01162283109516e-05,0.0567164776119403,-0.00187500000000007,-0.0147717099373321,-0.00304819226848332,-0.00684173705785091
"9","2001-06-28",0.0122522522522522,0.0310733880749498,0.000834919640993607,0.0222626079054974,0.00081535067588185,0.0263414156644683
"10","2001-06-29",0.00569597721609114,-0.0605479178082193,0.0321168085064273,-0.0117777555555555,-0.0224032905484462,0.0193672021513707
"11","2001-07-02",0.00265490265486727,0.0443277910665562,0.0252576267828803,0.0299077573665896,0.0158333774733173,-0.00652646845540247
"12","2001-07-03",-0.000529620457912793,-0.0340687228687873,0.00492707903322511,-0.00327504373962976,-0.0108695698440454,-0.0186569781021898
"13","2001-07-05",-0.011391752232281,0.0187916160740096,0.000196077654595955,-0.00262876220684512,-0.023429416037166,0.0227034078257132
"14","2001-07-06",-0.0263510147869947,-0.0039728715111877,-0.021764725490196,-0.0224028337887728,-0.0108279887352832,-0.0183769476322797
"15","2001-07-09",0.00642198165137614,-0.00997145355962697,0.0170375429352082,-0.0116826785748228,0.0291907875889304,0.0115321429708167
"16","2001-07-10",-0.0132178309286356,-0.0126618417266187,-0.0402049846194329,-0.0450103184810038,-0.023983293694466,-0.0115487825330608
"17","2001-07-11",0.00129330254041571,0.0521712896481699,0.00616014361067466,0.000952178098175502,0.0173076199322918,-0.0224685448460831
"18","2001-07-12",0.023710674416459,0.063712025690417,0.0204081632653061,0.0116528421320532,0.00714140554043122,-0.00551635938153937
"19","2001-07-13",0.00477647801009378,0.0164061710205118,0.02660004,0.000235025852491237,0.0302398555628047,-0.0107858243451464
"20","2001-07-16",-0.0115705625898388,0.0125544712414675,-0.0553282659135685,-0.0317273332955895,-0.129554654865331,0.00834888785046737
"21","2001-07-17",0.0117967699381768,0.0425101467611335,0.0727984709095291,0.0266989799344908,-0.0116279312122763,-0.00797079540223549
"22","2001-07-18",-0.0104036233183857,-0.0169903151215943,-0.0134563629373318,0.030260118918679,0.0289411811190367,-0.0268452034846739
"23","2001-07-19",0.0056190322863524,0.022962962962963,0.0257209469992206,0.00275353360470245,-0.00594562042248473,0.020865299444706
"24","2001-07-20",9.01405912040381e-05,-0.0212406710113444,-0.0210866265403996,-0.00686496551796417,-0.0223141995659797,-0.0360501567398119
"25","2001-07-23",-0.0173019551716327,-0.0108507524254194,0.00970308576951457,-0.00898626686699225,-0.0082352826271004,0.0276422764227642
"26","2001-07-24",-0.0138468954113931,-0.00274248310290486,-0.00884103418875707,-0.00767258812706765,0.0102016789968188,-0.00474683544303797
"27","2001-07-25",0.0126464757299609,0.000249950000000077,0.0477021330230754,0.00515468603561389,0.0110379790272305,-0.0199363720190779
"28","2001-07-26",0.0127639850732051,-0.000249887540609301,-0.0192485104432447,0.00792540755592497,0.0178861852400256,0.0294260022590727
"29","2001-07-27",0.00172276724997722,-0.01000005,0.0152858458091774,0.0224328620521342,0.0314924883333904,0.00535774366307261
"30","2001-07-30",-0.000814663257977374,0,-0.00371749077541805,-0.00904768172467056,-0.00840707159287325,-0.00313479623824451
"31","2001-07-31",0.00407641996557658,0.00631313163197634,0.00317167922282392,-0.0116412231992417,0.000892483341580852,0.00940248427672949
"32","2001-08-01",0.00433060282679904,0.00777922247323569,0.00223170913148596,0.00461896084570349,-0.0102541436677873,0.00158886574624966
"33","2001-08-02",0.00314407114624518,0.00971113047808773,0.018741937627425,0,0.0186936621283461,-0.0108864696734059
"34","2001-08-03",-0.00349243312424883,-0.0197287057886241,-0.00619309631354842,-0.00413793103448275,-0.00221090999682183,0.00786163522012579
"35","2001-08-06",-0.0115024984094626,0.0274213836477988,-0.0153958941459696,-0.0129271006463527,-0.0024374128405418,0.0078003120124805
"36","2001-08-07",0.00181814545454544,0.0198335455435847,-0.00502606096377405,0.000233910207385886,0.00288765903687535,0.00603718885448921
"37","2001-08-08",-0.0181488209854381,-0.0384154363305913,-0.0175865852649843,-0.0161327566050971,0.00332220964123428,0.00323122930058542
"38","2001-08-09",0.00295748624611786,0.0102372037512411,-0.00171395931113925,-0.00427756633661756,0,-0.0138036809815951
"39","2001-08-10",0.00405458916529989,-0.0148294121312264,-0.00190763074809731,0.00835317382562415,0.00331127158722594,-0.0124416796267496
"40","2001-08-13",0.00174377753303971,-0.0027596838243932,0.0194954128440368,-0.00307694674556213,-0.00990096749251143,0.0124409826771654
"41","2001-08-14",-0.0021987906147725,0.0163522515723271,-0.0307461379827522,0.00308644356805422,-0.00155556175171343,0.000902093604525864
